dataset_name,total_space_occupied,rses,on_tape,dataset_size,percent_locked_other_sites
/GammaGammatoMuMu_5p02TeV_STARlight/HINPbPbSpring21MiniAOD-NoPU_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,254762886914,"T1_US_FNAL_Tape,T1_US_FNAL_Disk",True,127381443457,0.0
/PromptPsi2S_pThat-10_TuneCP5_HydjetDrumMB_5p02TeV_Pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,151261077590,"T2_US_MIT,T1_IT_CNAF_Tape",True,75630538795,0.0
/NonPromptPsi2S_pThat-50_TuneCP5_HydjetDrumMB_5p02TeV_Pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,165632765992,"T1_DE_KIT_Tape,T1_US_FNAL_Disk",True,82816382996,0.0
/NonPromptXRho_pThat-50_TuneCP5_HydjetDrumMB_5p02TeV_Pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,148536861906,"T0_CH_CERN_Tape,T2_US_MIT",True,74268430953,0.0
/PrmtD0_toKpi_pthat30_pt60_TuneCP5_HydjetDrumMB_5p02TeV_pythia8_evtgen/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,8276093746,"T1_US_FNAL_Tape,T2_US_Nebraska",True,4138046873,0.0
/QCDPhoton_pThat-170_Filter50GeV_TuneCP5_HydjetDrumMB_5p02TeV_Pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,332504297066,"T2_US_MIT,T1_DE_KIT_Tape",True,166252148533,0.0
/PromptXPiPi_pThat-10_TuneCP5_HydjetDrumMB_5p02TeV_Pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,152670290826,"T0_CH_CERN_Tape,T2_US_MIT",True,76335145413,0.0
/PromptPsi2S_pThat-30_TuneCP5_HydjetDrumMB_FixCalo_5p02TeV_pythia8_evtgen/HINPbPbSpring21MiniAOD-FixL1CaloGT_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,162386794236,"T1_US_FNAL_Tape,T1_US_FNAL_Disk,T2_US_Nebraska",True,81193397118,0.0
/LambdaCtoPKbarStar892_pThat-10_TuneCP5_HydjetDrumMB_PtGT30_5p02TeV_pythia8_evtgen/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,47039091022,"T1_US_FNAL_Tape,T1_US_FNAL_Disk",True,23519545511,0.0
/Upsilon3S_pThat-2_TuneCP5_HydjetDrumMB_FixCalo_5p02TeV_pythia8/HINPbPbSpring21MiniAOD-FixL1CaloGT_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,612234854104,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True,306117427052,0.0
/LambdaCtoKaonDelta1232_pThat-10_TuneCP5_HydjetDrumMB_PtGT30_5p02TeV_pythia8_evtgen/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,47528528150,"T0_CH_CERN_Tape,T2_US_Wisconsin",True,23764264075,0.0
/ZZTo4L_HydjetDrumMB_5p02TeV_powheg_pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,160479246966,"T2_US_UCSD,T1_IT_CNAF_Tape",True,80239623483,0.0
/NonPrD0_ToKpi_Pthat20_Pt40_TuneCP5_HydjetDrumMB_5p02TeV_pythia8_evtgen/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,13336048244,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True,6668024122,0.0
/NonPromptPsi2S_pThat-15_TuneCP5_HydjetDrumMB_FixCalo_5p02TeV_pythia8_evtgen/HINPbPbSpring21MiniAOD-FixL1CaloGT_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,158458068370,"T1_US_FNAL_Disk,T1_RU_JINR_Tape",True,79229034185,0.0
/NonPromptPsi2S_pThat-10_TuneCP5_HydjetDrumMB_5p02TeV_Pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,163687162882,"T0_CH_CERN_Tape,T2_US_MIT",True,81843581441,0.0
/QCD_pThat-80_EMEnrichedDijet_TuneCP5_HydjetDrumMB_5p02TeV_pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,344526310908,"T2_US_Caltech,T1_DE_KIT_Tape,T2_US_Purdue,T2_US_Nebraska",True,172263155454,0.0
/QCDPhoton_pThat-30_Filter50GeV_TuneCP5_HydjetDrumMB_5p02TeV_Pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,293835220636,"T2_US_MIT,T1_US_FNAL_Tape",True,146917610318,0.0
/BsToJpsiPhi_pThat-5_TuneCP5_HydjetDrumMB_5p02TeV_Pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,151294464416,"T2_US_MIT,T1_FR_CCIN2P3_Tape",True,75647232208,0.0
/QCD_pThat-30_EMEnrichedDijet_TuneCP5_HydjetDrumMB_5p02TeV_pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,353956190188,"T0_CH_CERN_Tape,T2_US_MIT",True,176978095094,0.0
/PrmtD0_TuneCP5_HydjetDrumMB_5p02TeV_pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,822216191456,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True,411108095728,0.0
/PromptXRho_pThat-5_TuneCP5_HydjetDrumMB_5p02TeV_Pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,159912723300,"T0_CH_CERN_Tape,T2_US_MIT",True,79956361650,0.0
/LambdaCtoPKbarStar892_pThat-0_TuneCP5_HydjetDrumMB_PtGT6_5p02TeV_pythia8_evtgen/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,30687615744,"T1_US_FNAL_Tape,T1_US_FNAL_Disk",True,15343807872,0.0
/QCDPhoton_pThat-50_Filter30GeV_TuneCP5_HydjetDrumMB_5p02TeV_Pythia8/HINPbPbSpring21MiniAOD-mva98_112X_upgrade2018_realistic_HI_v9-v1/MINIAODSIM,337823227536,"T2_US_MIT,T1_US_FNAL_Tape",True,168911613768,0.0
