dataset_name,size_on_rses_gb,rses,on_tape
/HIDoubleMuon/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,14755.38687578,"T0_CH_CERN_Tape,T2_US_Vanderbilt,T2_US_Purdue",True
/HIMinimumBias3/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,28698.88068801,"T2_HU_Budapest,T1_RU_JINR_Disk,T0_CH_CERN_Tape,T1_ES_PIC_Disk,T2_DE_DESY,T2_US_Caltech,T2_US_MIT,T2_CH_CERN,T2_ES_CIEMAT,T2_BR_SPRACE,T2_US_Vanderbilt,T2_FI_HIP,T1_FR_CCIN2P3_Disk,T2_IN_TIFR,T2_US_Wisconsin,T2_US_Florida,T1_IT_CNAF_Disk,T2_KR_KISTI,T2_TR_METU,T1_US_FNAL_Disk,T2_UK_London_IC,T2_FR_IPHC,T2_ES_IFCA",True
/HIMinimumBias15/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,19706.172937205,"T2_PL_Swierk,T1_US_FNAL_Tape,T2_BR_SPRACE,T2_US_Vanderbilt,T2_UA_KIPT",True
/HIMinimumBias16/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,19365.959055894,"T1_RU_JINR_Disk,T2_IT_Legnaro,T1_DE_KIT_Tape,T2_BR_SPRACE,T2_US_Vanderbilt,T2_IN_TIFR",True
/HIMinimumBias6/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,21042.796207064,"T0_CH_CERN_Tape,T2_US_Vanderbilt,T2_FI_HIP",True
/HIMinimumBias1/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,20463.878068207,"T2_KR_KISTI,T2_BR_SPRACE,T2_US_Vanderbilt,T1_FR_CCIN2P3_Tape",True
/HIMinimumBias11/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,19474.774745569,"T0_CH_CERN_Tape,T2_RU_JINR,T2_BR_SPRACE,T2_US_Vanderbilt,T2_FI_HIP,T2_IN_TIFR",True
/HIMinimumBias19/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,16063.570440922,"T2_IT_Legnaro,T1_US_FNAL_Tape,T2_KR_KISTI,T2_IT_Pisa,T2_US_Vanderbilt",True
/HIHardProbesLower/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,4028.578074816,"T1_US_FNAL_Tape,T2_US_Vanderbilt",True
/HIMinimumBias2/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,19124.98828798,"T1_US_FNAL_Tape,T2_US_Vanderbilt,T2_US_Purdue",True
/HISingleMuon/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,10142.44315694,"T0_CH_CERN_Tape,T2_TW_NCHC,T2_US_Vanderbilt",True
/HIHardProbes/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,12200.090153874,"T2_US_Vanderbilt,T1_IT_CNAF_Tape",True
/HIMinimumBias7/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,20168.254849435,"T1_DE_KIT_Tape,T2_BR_SPRACE,T2_IT_Pisa,T2_US_Vanderbilt,T2_CN_Beijing,T2_FI_HIP,T2_IN_TIFR",True
/HIMinimumBias9/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,21012.824588499,"T2_PL_Swierk,T2_US_Vanderbilt,T2_FI_HIP,T1_IT_CNAF_Tape,T2_HU_Budapest",True
/HIMinimumBias12/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,19180.367041734,"T1_US_FNAL_Tape,T2_KR_KISTI,T2_US_Vanderbilt,T2_IN_TIFR",True
/HIMinimumBias8/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,21765.486401628,"T1_US_FNAL_Tape,T2_RU_JINR,T2_BR_SPRACE,T2_IT_Pisa,T2_US_Vanderbilt,T2_CN_Beijing,T2_RU_INR,T2_IN_TIFR",True
/HIForward/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,5078.905131798,"T2_US_Vanderbilt,T1_IT_CNAF_Tape",True
/HIDoubleMuonPsiPeri/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,6332.415525514,"T1_DE_KIT_Tape,T2_US_Vanderbilt",True
/HIHeavyFlavor/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,22173.118971447,"T1_RU_JINR_Disk,T2_FR_GRIF_LLR,T0_CH_CERN_Tape,T1_DE_KIT_Disk,T1_ES_PIC_Disk,T2_IT_Legnaro,T2_DE_DESY,T2_US_UCSD,T2_CH_CERN,T2_US_MIT,T2_BE_IIHE,T2_EE_Estonia,T2_US_Vanderbilt,T1_FR_CCIN2P3_Disk,T2_IN_TIFR,T1_UK_RAL_Disk,T2_US_Wisconsin,T1_IT_CNAF_Disk,T2_IT_Rome,T1_US_FNAL_Disk,T2_US_Nebraska",True
/HIHardProbesPeripheral/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,1822.394190376,"T0_CH_CERN_Tape,T2_US_Vanderbilt",True
/HIMinimumBias4/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,21706.383058628,"T2_PL_Swierk,T2_IT_Pisa,T2_US_Vanderbilt,T2_UA_KIPT,T1_IT_CNAF_Tape,T2_HU_Budapest",True
/HIMinimumBias18/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,19789.16457019,"T2_IT_Legnaro,T1_US_FNAL_Tape,T2_KR_KISTI,T2_RU_JINR,T2_BR_SPRACE,T2_US_Vanderbilt,T2_IN_TIFR",True
/HIMinimumBias5/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,19387.786789791,"T0_CH_CERN_Tape,T2_BR_SPRACE,T2_US_Vanderbilt,T2_IN_TIFR",True
/HIMinimumBias10/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,18672.101854868,"T0_CH_CERN_Tape,T2_US_Vanderbilt",True
/HIMinimumBias0/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,19854.346146176,"T1_US_FNAL_Tape,T2_BR_SPRACE,T2_IT_Pisa,T2_TW_NCHC,T2_US_Vanderbilt,T2_IN_TIFR",True
/HIMinimumBias14/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,19474.629950346,"T0_CH_CERN_Tape,T2_PL_Swierk,T2_IT_Legnaro,T2_BE_UCL,T2_US_MIT,T2_KR_KISTI,T2_IT_Pisa,T2_US_Vanderbilt,T2_IN_TIFR,T2_HU_Budapest",True
/HIMinimumBias13/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,19449.054408465,"T0_CH_CERN_Tape,T2_KR_KISTI,T2_IT_Pisa,T2_TR_METU,T2_US_Vanderbilt,T2_IN_TIFR",True
/HIMinimumBias17/HIRun2018A-PbPb18_MiniAODv1-v1/MINIAOD,20078.031735151,"T0_CH_CERN_Tape,T2_BE_UCL,T2_KR_KISTI,T2_US_Vanderbilt,T2_FI_HIP,T2_IN_TIFR,T2_UA_KIPT",True
