dataset_name,total_space_occupied,rses,on_tape,dataset_size,percent_locked_other_sites
/EGamma/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,12113945374124,"T0_CH_CERN_Tape,T2_US_Caltech,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Nebraska,T2_US_Wisconsin",True,6056972687062,0.0
/Charmonium/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,3165469883142,"T0_CH_CERN_Tape,T2_US_Florida,T2_US_UCSD,T2_US_Caltech,T2_US_MIT,T1_US_FNAL_Disk,T2_US_Nebraska",True,1582734941571,0.0
/SingleMuon/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,7813718717068,"T2_US_Florida,T2_US_MIT,T1_US_FNAL_Tape,T2_US_Caltech,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_US_Wisconsin",True,3906859358534,0.0
/ParkingBPH5/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,31199082515456,"T2_US_UCSD,T2_US_Florida,T2_US_MIT,T1_DE_KIT_Tape,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_US_Wisconsin",True,15599541257728,0.0
/Tau/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,2489000031018,"T0_CH_CERN_Tape,T2_US_Florida,T2_US_UCSD,T2_US_MIT,T2_US_Caltech,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_US_Wisconsin",True,1244500015509,0.0
/JetHT/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,6289377549072,"T0_CH_CERN_Tape,T2_US_UCSD,T2_US_Florida,T2_US_MIT,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_US_Wisconsin",True,3144688774536,0.0
/MuOnia/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,1161729692634,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True,580864846317,0.0
/DisplacedJet/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,221885561226,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True,110942780613,0.0
/MuonEG/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,1397448496192,"T2_US_Florida,T2_US_UCSD,T1_US_FNAL_Tape,T2_US_MIT,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_US_Wisconsin",True,698724248096,0.0
/ParkingBPH4/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,31194675947436,"T0_CH_CERN_Tape,T2_US_Florida,T2_US_UCSD,T2_US_MIT,T2_US_Caltech,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Wisconsin",True,15597337973718,0.0
/DoubleMuon/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,4790297271987,"T2_IT_Bari,T1_US_FNAL_Tape,T1_US_FNAL_Disk,T2_US_Nebraska,T2_US_Wisconsin",True,1596765757329,100.0
/ParkingBPH3/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,31163223262186,"T2_US_Florida,T2_US_Caltech,T1_US_FNAL_Disk,T1_FR_CCIN2P3_Tape,T2_US_Wisconsin",True,15581611631093,0.0
/ZeroBias/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,2589118437528,"T2_US_UCSD,T2_US_Florida,T2_US_MIT,T2_US_Caltech,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T1_IT_CNAF_Tape,T2_US_Wisconsin",True,1294559218764,0.0
/BTagMu/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,1329431495154,"T1_DE_KIT_Tape,T2_US_Vanderbilt",True,664715747577,0.0
/ParkingBPH2/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,31199666812750,"T2_US_Florida,T2_US_UCSD,T2_US_MIT,T2_US_Caltech,T1_DE_KIT_Tape,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_US_Wisconsin",True,15599833406375,0.0
/MET/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,2403757466192,"T2_US_Caltech,T1_US_FNAL_Disk,T1_FR_CCIN2P3_Tape",True,1201878733096,0.0
/ParkingBPH1/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,31201788642710,"T2_US_Florida,T2_US_UCSD,T2_US_MIT,T1_US_FNAL_Disk,T2_US_Purdue,T1_FR_CCIN2P3_Tape,T2_US_Nebraska,T2_US_Wisconsin",True,15600894321355,0.0
/MinimumBias/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,153821255527,"T2_US_Florida,T2_US_UCSD,T2_US_MIT,T2_US_Caltech,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Nebraska,T2_US_Wisconsin,T1_IT_CNAF_Tape",True,76899002460,0.0
