dataset_name,size_on_rses_gb,rses,on_tape
/DoublePhoton_FlatPt-500To1000/Run3Summer21MiniAOD-FlatPU0to70_rndm_120X_mcRun3_2021_realistic_v5-v1/MINIAODSIM,233.997870942,"T2_US_UCSD,T1_DE_KIT_Tape,T1_US_FNAL_Disk",True
/QCD_Pt-80to120_EMEnriched_TuneCP5_14TeV_pythia8/Run3Summer21MiniAOD-FlatPU0to70_120X_mcRun3_2021_realistic_v5-v1/MINIAODSIM,758.316433224,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True
/GJet_Pt-40toInf_DoubleEMEnriched_TuneCP5_14TeV_Pythia8/Run3Summer21MiniAOD-FlatPU0to70IDEALGT_120X_mcRun3_2021_realistic_v5-v2/MINIAODSIM,11807.970662459,"T2_DE_RWTH,T0_CH_CERN_Tape,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Wisconsin",True
/DoublePhotonNoMaterial_FlatPt-10To500/Run3Summer21MiniAOD-FlatPU0to70Ext21ZM_Ext21ZM_NoMaterial_120X_mcRun3_2021_realistic_v5-v2/MINIAODSIM,4343.965594334,"T0_CH_CERN_Tape,T1_US_FNAL_Disk,T2_US_Nebraska",True
/DoublePhoton_Pt-5To300-gun/Run3Summer21MiniAOD-120X_mcRun3_2021_realistic_v5-v2/MINIAODSIM,10787.050624243,"T2_DE_RWTH,T2_FR_GRIF_LLR,T2_PL_Swierk,T2_FR_GRIF_IRFU,T2_IT_Legnaro,T2_US_UCSD,T2_US_MIT,T2_US_Caltech,T2_BE_IIHE,T2_ES_CIEMAT,T2_US_Vanderbilt,T2_US_Wisconsin,T2_US_Florida,T2_BE_UCL,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T1_IT_CNAF_Tape,T2_HU_Budapest",True
/DoublePhoton_FlatPt-500To1000/Run3Summer21MiniAOD-FlatPU0to70IDEALGT_rndm_120X_mcRun3_2021_realistic_v5-v2/MINIAODSIM,1260.58800333,"T1_US_FNAL_Tape,T1_US_FNAL_Disk,T2_US_Purdue",True
/QCD_Pt_80to170_bcToE_TuneCP5_14TeV_pythia8/Run3Summer21MiniAOD-FlatPU0to70IDEALGT_120X_mcRun3_2021_realistic_v5-v2/MINIAODSIM,2539.278520702,"T1_US_FNAL_Tape,T1_US_FNAL_Disk",True
/ZprimeToMuMu_M-6000_TuneCP5_14TeV-pythia8/Run3Summer21MiniAOD-120X_mcRun3_2021_realistic_v5-v2/MINIAODSIM,278.017408478,"T2_DE_RWTH,T2_FR_GRIF_LLR,T2_FR_GRIF_IRFU,T2_IT_Legnaro,T1_US_FNAL_Tape,T2_US_MIT,T2_US_Caltech,T2_ES_CIEMAT,T2_BE_IIHE,T2_US_Vanderbilt,T2_US_Wisconsin,T2_US_Florida,T2_RU_JINR,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_HU_Budapest",True
/DoubleMuon_Pt-1To1000-gun/Run3Summer21MiniAOD-120X_mcRun3_2021_realistic_v5-v2/MINIAODSIM,3074.13439747,"T2_DE_RWTH,T2_FR_GRIF_LLR,T0_CH_CERN_Tape,T2_FR_GRIF_IRFU,T2_IT_Legnaro,T2_US_UCSD,T2_US_MIT,T2_US_Caltech,T2_BE_IIHE,T2_ES_CIEMAT,T2_US_Vanderbilt,T2_US_Florida,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_HU_Budapest",True
/QCD_Pt-10to30_EMEnriched_TuneCP5_14TeV_pythia8/Run3Summer21MiniAOD-FlatPU0to70_120X_mcRun3_2021_realistic_v5-v1/MINIAODSIM,674.539816348,"T2_US_Florida,T1_US_FNAL_Tape,T1_US_FNAL_Disk",True
