dataset_name,total_space_occupied,rses,on_tape,dataset_size,percent_locked_other_sites
/HTo2LongLivedTo4b_MH-125_MFF-50_CTau-3000mm_TuneCP5_14TeV-pythia8/Run3Winter21DRMiniAOD-FlatPU30to80FEVT_112X_mcRun3_2021_realistic_v16-v2/MINIAODSIM,5725551746,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True,2862775873,0.0
/HTo2LongLivedTo4mu_MH-1000_MFF-450_CTau-10000mm_TuneCP5_14TeV-pythia8/Run3Winter21DRMiniAOD-FlatPU30to80_112X_mcRun3_2021_realistic_v16-v2/MINIAODSIM,7974713374,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True,3987356687,0.0
/QCD_Pt-120To170_MuEnrichedPt5_TuneCP5_14TeV-pythia8/Run3Winter21DRMiniAOD-FlatPU30to80_112X_mcRun3_2021_realistic_v16-v2/MINIAODSIM,4342463981,T1_US_FNAL_Disk,False,4342463981,0.0
/SinglePion_PT200to500/Run3Winter21DRMiniAOD-NoPUFEVT_112X_mcRun3_2021_realistic_v16-v2/MINIAODSIM,78138807310,"T2_US_UCSD,T2_US_MIT,T2_US_Caltech,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T1_FR_CCIN2P3_Tape,T2_US_Nebraska,T2_US_Wisconsin",True,39069403655,0.0
/HTo2LongLivedTo4b_MH-250_MFF-120_CTau-1000mm_TuneCP5_14TeV-pythia8/Run3Winter21DRMiniAOD-FlatPU30to80_112X_mcRun3_2021_realistic_v16-v2/MINIAODSIM,6233750232,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True,3116875116,0.0
/ZToEE_TuneCUETP8M1_14TeV-pythia8/Run3Winter21DRMiniAOD-FlatPU20to70_for_DNN_112X_mcRun3_2021_realistic_v16_ext1-v1/MINIAODSIM,10744483682,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True,5372241841,0.0
/WJetsToLNu_TuneCP5_14TeV-amcatnloFXFX-pythia8/Run3Winter21DRMiniAOD-FlatPU30to80FEVT_112X_mcRun3_2021_realistic_v16-v2/MINIAODSIM,222873162252,"T1_US_FNAL_Disk,T1_RU_JINR_Tape",True,111436581126,0.0
/HTo2LongLivedTo4mu_MH-125_MFF-25_CTau-1500mm_TuneCP5_14TeV-pythia8/Run3Winter21DRMiniAOD-FlatPU30to80_Scouting_Patatrack_112X_mcRun3_2021_realistic_v16-v2/MINIAODSIM,118343752358,"T1_DE_KIT_Tape,T1_US_FNAL_Disk",True,59171876179,0.0
/LbToJpsiLambda_MuFilter_TuneCP5_14TeV-pythia8-evtgen/Run3Winter21DRMiniAOD-FlatPU30to80FEVT_rndm_112X_mcRun3_2021_realistic_v16-v2/MINIAODSIM,15546823620,"T1_US_FNAL_Tape,T2_US_Vanderbilt,T1_US_FNAL_Disk",True,7773411810,0.0
/TT_TuneCP5_14TeV-powheg-pythia8/Run3Winter21DRMiniAOD-NoPURAW_for_DNN_112X_mcRun3_2021_realistic_v16_ext1-v1/MINIAODSIM,6136415464,"T1_US_FNAL_Disk,T1_FR_CCIN2P3_Tape",True,3068207732,0.0
