dataset_name,total_space_occupied,rses,on_tape,dataset_size,percent_locked_other_sites
/QCD_Pt-170To300_MuEnrichedPt5_TuneCP5_13p6TeV-pythia8/Run3Winter22MiniAOD-122X_mcRun3_2021_realistic_v9-v2/MINIAODSIM,11727190914908,"T2_FR_GRIF_LLR,T1_ES_PIC_Disk,T1_DE_KIT_Disk,T2_DE_DESY,T2_FR_GRIF_IRFU,T2_US_UCSD,T2_IT_Bari,T2_US_MIT,T2_US_Caltech,T2_BE_IIHE,T2_ES_CIEMAT,T2_FI_HIP,T2_BE_UCL,T1_IT_CNAF_Disk,T2_IT_Rome,T2_US_Purdue,T2_DE_RWTH,T2_IT_Legnaro,T2_CH_CSCS,T2_US_Vanderbilt,T1_FR_CCIN2P3_Disk,T2_US_Wisconsin,T2_US_Florida,T1_US_FNAL_Disk,T2_UK_London_IC,T2_UK_London_Brunel,T2_FR_IPHC,T2_US_Nebraska,T1_IT_CNAF_Tape,T2_ES_IFCA",True,2931797728727,100.0
/DoubleElectron_FlatPt-500To1000_13p6TeV/Run3Winter22MiniAOD-FlatPU0to70_122X_mcRun3_2021_realistic_v9_ext1-v3/MINIAODSIM,172393652004,"T0_CH_CERN_Tape,T2_US_Florida,T1_US_FNAL_Disk,T2_US_Purdue",True,86196826002,0.0
/DYToMuMu_M-20_TuneCP5_13p6TeV-pythia8/Run3Winter22MiniAOD-NoPURECO_122X_mcRun3_2021_realistic_v9-v2/MINIAODSIM,270919337484,"T0_CH_CERN_Tape,T2_US_UCSD,T1_US_FNAL_Disk",True,135459668742,0.0
/GGToTauTau_Pt-25_Inel-Inel_13p6TeV-superchic/Run3Winter22MiniAOD-122X_mcRun3_2021_realistic_v9-v2/MINIAODSIM,33763970134,"T1_US_FNAL_Disk,T1_FR_CCIN2P3_Tape",True,16881985067,0.0
/QCD_Pt-170to300_EMEnriched_TuneCP5_13p6TeV_pythia8/Run3Winter22MiniAOD-FlatPU0to70_122X_mcRun3_2021_realistic_v9-v2/MINIAODSIM,241264303824,"T0_CH_CERN_Tape,T2_US_Florida,T1_US_FNAL_Disk,T2_US_Nebraska",True,120632151912,0.0
/BuToKJpsi_Toee_Mufilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter22MiniAOD-FlatPU0to70_122X_mcRun3_2021_realistic_v9_ext1-v3/MINIAODSIM,503913584645,"T1_ES_PIC_Disk,T1_DE_KIT_Disk,T2_UK_SGrid_RALPP,T2_US_Florida,T1_IT_CNAF_Disk,T1_US_FNAL_Disk,T2_UK_London_IC,T2_UK_London_Brunel,T2_IN_TIFR,T2_PT_NCG_Lisbon,T1_IT_CNAF_Tape,T2_US_Wisconsin",True,100782716929,100.0
/DoublePhoton_FlatPt-1000To1500_13p6TeV/Run3Winter22MiniAOD-FlatPU0to70ECALIdeal_122X_mcRun3_2021_realistic_v9-v3/MINIAODSIM,75306479268,"T0_CH_CERN_Tape,T2_US_Florida",True,37653239634,0.0
/ZZ_TuneCP5_13p6TeV-pythia8/Run3Winter22MiniAOD-122X_mcRun3_2021_realistic_v9-v2/MINIAODSIM,148561892158,"T0_CH_CERN_Tape,T2_US_UCSD,T2_US_Florida,T2_US_MIT,T2_US_Caltech,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_US_Wisconsin",True,74280946079,0.0
/DoublePhoton_FlatPt-3000To4000_13p6TeV/Run3Winter22MiniAOD-FlatPU0to70ECALIdeal_122X_mcRun3_2021_realistic_v9-v3/MINIAODSIM,15638077956,"T2_US_Florida,T1_DE_KIT_Tape",True,7819038978,0.0
/BsToJPsiPhi_JPsiToMuMu_PhiToKK_TuneCP5_13p6TeV-pythia8_evtgen/Run3Winter22MiniAOD-NoPU_122X_mcRun3_2021_realistic_v9-v2/MINIAODSIM,1836403558,"T2_US_Florida,T2_US_Caltech,T1_UK_RAL_Tape,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_US_Wisconsin",True,918201779,0.0
/QCD_Pt_250toInf_bcToE_TuneCP5_13p6TeV_pythia8/Run3Winter22MiniAOD-FlatPU0to70_122X_mcRun3_2021_realistic_v9-v2/MINIAODSIM,241510784094,"T0_CH_CERN_Tape,T2_US_Florida,T1_US_FNAL_Disk,T2_US_Wisconsin",True,120755392047,0.0
/ZToMuMu_M-200To400_TuneCP5_13p6TeV-powheg-pythia8/Run3Winter22MiniAOD-L1TPU0to99FEVT_122X_mcRun3_2021_realistic_v9-v2/MINIAODSIM,15816258376,"T1_DE_KIT_Tape,T1_US_FNAL_Disk",True,7908129188,0.0
/DoubleElectron_FlatPt-4000To5000_13p6TeV/Run3Winter22MiniAOD-FlatPU0to70ECALIdeal_122X_mcRun3_2021_realistic_v9-v3/MINIAODSIM,20977234250,"T2_US_Florida,T1_IT_CNAF_Tape",True,10488617125,0.0
/QCD_Pt-80to120_EMEnriched_TuneCP5_13p6TeV_pythia8/Run3Winter22MiniAOD-FlatPU0to70_122X_mcRun3_2021_realistic_v9-v2/MINIAODSIM,202950288650,"T0_CH_CERN_Tape,T2_US_Florida,T2_US_Vanderbilt,T1_US_FNAL_Disk",True,101475144325,0.0
