dataset_name,size_on_rses_gb,rses,on_tape
/ADDGravToGG_NegInt-0_LambdaT-7500_M-1000To2000_TuneCP2_13TeV-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,8.472865894,"T1_US_FNAL_Disk,T1_IT_CNAF_Tape",True
/ADDGravToGG_NegInt-1_LambdaT-6500_M-1000To2000_TuneCP2_13TeV-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,12.112528596,"T1_UK_RAL_Tape,T2_US_Nebraska,T2_PK_NCP",True
/ADDGravToGG_NegInt-1_LambdaT-8000_M-4000To8000_TuneCP2_13TeV-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,8.975475746,"T1_DE_KIT_Tape,T1_US_FNAL_Disk",True
/ADDGravToLL_LambdaT-8000_M-2000ToInf_13TeV-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,14.250487918,"T2_US_MIT,T1_IT_CNAF_Tape",True
/ADDMonoJet_MD_9_d_2_TuneCUETP8M1_13TeV_pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,8.093759778,"T1_US_FNAL_Disk,T1_IT_CNAF_Tape",True
/BBAToZhToLLTauTau_M300_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,3.483851931,T1_US_FNAL_Disk,False
/BFFZprimeToMuMu_M-500_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,48.632737574,"T1_US_FNAL_Disk,T1_RU_JINR_Tape",True
/BdToDStarD_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIAutumn18MiniAOD-Custom_RDStar_BParking_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,3600.371135364,"T2_US_MIT,T2_FI_HIP,T1_US_FNAL_Disk,T2_CN_Beijing,T1_FR_CCIN2P3_Tape",True
/BdToDStarPiPiMuNu_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIAutumn18MiniAOD-Custom_RDStar_BParking_102X_upgrade2018_realistic_v15-v2/MINIAODSIM,3469.204814257,"T0_CH_CERN_Tape,T2_RU_IHEP,T2_US_MIT,T2_RU_JINR,T1_US_FNAL_Disk",True
/BdToDstarMuNu_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIAutumn18MiniAOD-Custom_RDStar_BParking_102X_upgrade2018_realistic_v15_ext2-v3/MINIAODSIM,28703.814837465,"T0_CH_CERN_Tape,T2_US_MIT,T2_BR_SPRACE,T1_US_FNAL_Disk,T2_RU_INR",True
/BprimeBprime_M-700_TuneCP5_PSweights_13TeV-madgraph-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v3/MINIAODSIM,157.159068808,"T2_DE_RWTH,T1_RU_JINR_Disk,T2_FR_GRIF_LLR,T0_CH_CERN_Tape,T2_IT_Legnaro,T2_CH_CSCS,T2_US_UCSD,T2_US_Caltech,T2_US_MIT,T2_BE_IIHE,T2_ES_CIEMAT,T2_BR_SPRACE,T2_US_Vanderbilt,T2_US_Wisconsin,T2_US_Florida,T2_KR_KISTI,T2_CN_Beijing,T1_US_FNAL_Disk,T2_US_Purdue,T2_FR_IPHC,T2_US_Nebraska,T2_HU_Budapest",True
/BsToPsiPhi_BMuonFilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,3171.87404286,"T0_CH_CERN_Tape,T2_US_Florida",True
/BstarToGJ_M-1000_f-0p5_TuneCP5_13TeV-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,10.096803552,"T1_US_FNAL_Disk,T1_RU_JINR_Tape",True
/BstarToGJ_M-1000_f-1p0_TuneCP5_13TeV-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,9.990856642,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True
/BstarToTW_M-1400_LH_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,12.353143746,"T1_US_FNAL_Tape,T1_US_FNAL_Disk",True
/BuToKJpsi_Toee_Mufilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIAutumn18MiniAOD-Custom_RK_BParking_for_RK_102X_upgrade2018_realistic_v15-v2/MINIAODSIM,1037.664371632,"T2_US_MIT,T1_UK_RAL_Tape,T1_US_FNAL_Disk",True
