dataset_name,size_on_rses_gb,rses,on_tape
/ADDGravToGG_MS-6000_NED-2_KK-1_M-2000To4000_13TeV-sherpa/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,8.363512236,"T2_US_MIT,T1_UK_RAL_Tape",True
/ADDMonoZ_ZToLL_MD-3_d-7_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,3.39657871,"T1_US_FNAL_Disk,T1_IT_CNAF_Tape",True
/ADDMonoZ_ZtoLL_MD-1_d-5_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,6.675006724,"T2_US_Florida,T1_UK_RAL_Tape",True
/ADDMonoZ_ZtoLL_MD-2_d-7_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,6.761227698,"T1_IT_CNAF_Tape,T2_US_Wisconsin",True
/ADDmonoPhoton_MD-1_d-4_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,2.80634816,"T1_US_FNAL_Disk,T1_IT_CNAF_Tape",True
/AxialMonoW_Mphi-100_Mchi-200_gSM-0p25_gDM-1p0_v2_13TeV-madgraph/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,16.25381786,"T1_UK_RAL_Tape,T1_US_FNAL_Disk",True
/AxialMonoZ_Mphi-2000_Mchi-10_gSM-0p25_gDM-1p0_v2_13TeV-madgraph/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,22.299871062,"T1_UK_RAL_Tape,T1_US_FNAL_Disk",True
/AxialMonoZ_Mphi-2250_Mchi-200_gSM-0p25_gDM-1p0_v2_13TeV-madgraph/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,14.434310484,"T2_US_MIT,T1_FR_CCIN2P3_Tape",True
/Axial_MonoW_NLO_Mphi-1750_Mchi-200_gSM-0p25_gDM-1p0_13TeV-madgraph/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,33.848380494,"T2_TR_METU,T2_US_Purdue,T1_RU_JINR_Tape",True
/Axial_MonoW_NLO_Mphi-750_Mchi-300_gSM-0p25_gDM-1p0_13TeV-madgraph/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,21.86067894,"T2_US_MIT,T1_UK_RAL_Tape",True
/BBAToZhToLLBB_M-275_13TeV-madgraph-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/MINIAODSIM,41.141254964,"T0_CH_CERN_Tape,T2_US_MIT",True
/BBbarDMJets_pseudo_NLO_Mchi-100_Mphi-350_TuneCUETP8M1_13TeV-madgraph-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,21.968260266,"T1_ES_PIC_Tape,T2_US_Purdue",True
/BBbarDMJets_pseudo_NLO_Mchi-1_Mphi-350_TuneCUETP8M1_13TeV-madgraph-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,22.152785772,"T1_US_FNAL_Disk,T1_RU_JINR_Tape",True
/BBbarDMJets_pseudoscalar_Mchi-1_Mphi-50_TuneCUETP8M1_v2_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,25.694991573,"T2_IT_Legnaro,T1_US_FNAL_Disk,T1_IT_CNAF_Tape",True
/BBbarDMJets_scalar_LO_Mchi-1_Mphi-100_TuneCUETP8M1_13TeV-madgraph-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,19.841611776,"T1_US_FNAL_Disk,T1_IT_CNAF_Tape",True
/BBbarDMJets_scalar_Mchi-10_Mphi-100_TuneCUETP8M1_v2_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,38.944652144,"T2_GR_Ioannina,T2_IT_Legnaro,T2_US_Nebraska,T1_IT_CNAF_Tape",True
/BBbarDMJets_scalar_Mchi-1_Mphi-20_TuneCUETP8M1_v2_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,27.856806643,"T2_IT_Legnaro,T1_UK_RAL_Tape,T2_TR_METU,T2_US_Purdue",True
/BBbarDMJets_scalar_NLO_Mchi-50_Mphi-10_TuneCUETP8M1_13TeV-madgraph-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,21.383582188,"T1_UK_RAL_Tape,T1_US_FNAL_Disk",True
/BBbarDMJets_scalar_NLO_Mchi-50_Mphi-500_TuneCUETP8M1_13TeV-madgraph-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,22.685420642,"T1_US_FNAL_Disk,T1_ES_PIC_Tape",True
/BFFZprimeToMuMu_M_500_dbs1p0_TuneCUETP8M1_13TeV-madgraph-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,34.319013598,"T1_US_FNAL_Disk,T1_RU_JINR_Tape",True
/BlackHole_BH10_MD3000_MBH6000_n4_13TeV_TuneCUETP8M1-charybdis/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,1.0331819,"T1_US_FNAL_Disk,T1_IT_CNAF_Tape",True
/BlackHole_BH10_MD3000_MBH9000_n6_13TeV_TuneCUETP8M1-charybdis/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,1.215489852,"T1_ES_PIC_Tape,T2_US_Wisconsin",True
/BlackHole_BH1_MD-2000_MBH-11000_n-6_TuneCUETP8M1_13TeV-blackmax/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,2.201926316,"T1_UK_RAL_Tape,T1_US_FNAL_Disk",True
