dataset_name,size_on_rses_gb,rses,on_tape
/ADDmonoPhoton_MD-3_d-5_TuneCP5_13TeV-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,5.346090803,"T1_US_FNAL_Tape,T2_IT_Pisa,T2_US_Vanderbilt,T1_US_FNAL_Disk",True
/ADDmonoPhoton_MD-6_d-6_TuneCP5_13TeV-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,4.120505276,"T1_DE_KIT_Tape,T2_US_Vanderbilt,T1_US_FNAL_Disk",True
/AToZHTo2L2B_MA-750p00_MH-610p00_tb-20p00_TuneCP5_bbH4F_13TeV-amcatnlo-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1/MINIAODSIM,4.355914324,"T0_CH_CERN_Tape,T2_US_Vanderbilt",True
/BsToKMuNu_BMuonFilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1/MINIAODSIM,302.853135811,"T2_US_UCSD,T1_US_FNAL_Tape,T2_US_MIT,T2_US_Caltech,T2_BR_SPRACE,T2_IT_Pisa,T2_TW_NCHC,T2_US_Vanderbilt,T2_IN_TIFR,T2_UA_KIPT,T2_US_Wisconsin,T2_US_Florida,T2_RU_JINR,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska",True
/BsToMuMuPhi_PhiToKK_BMuonFilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v3/MINIAODSIM,18456.555693052,"T2_ES_IFCA,T1_RU_JINR_Disk,T2_FR_GRIF_LLR,T0_CH_CERN_Tape,T1_DE_KIT_Disk,T2_DE_DESY,T1_ES_PIC_Disk,T2_PL_Swierk,T2_US_UCSD,T2_IT_Bari,T2_CH_CERN,T2_US_Caltech,T2_US_MIT,T2_ES_CIEMAT,T2_BE_IIHE,T2_FR_GRIF_IRFU,T2_TW_NCHC,T2_UK_SGrid_RALPP,T2_BE_UCL,T1_IT_CNAF_Disk,T2_RU_JINR,T2_IT_Rome,T2_US_Purdue,T2_DE_RWTH,T2_IT_Legnaro,T2_EE_Estonia,T2_AT_Vienna,T2_BR_SPRACE,T2_US_Vanderbilt,T1_FR_CCIN2P3_Disk,T2_IN_TIFR,T1_UK_RAL_Disk,T2_US_Wisconsin,T2_US_Florida,T2_KR_KISTI,T2_CN_Beijing,T1_US_FNAL_Disk,T2_PT_NCG_Lisbon,T2_UK_London_IC,T2_FR_IPHC,T2_US_Nebraska,T2_HU_Budapest",True
/BsToMuMu_SoftQCDnonD_TuneCP5_BsLifetime1p80_13TeV-pythia8-evtgen/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1/MINIAODSIM,146.936309593,"T2_US_UCSD,T2_US_Florida,T2_US_Caltech,T2_US_MIT,T2_KR_KISTI,T2_RU_JINR,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_CN_Beijing,T1_FR_CCIN2P3_Tape,T2_UA_KIPT,T2_US_Wisconsin",True
/BulkGravToWWToWhadWhad_narrow_M-4500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,47.122266733,"T2_US_UCSD,T2_US_Florida,T1_US_FNAL_Tape,T2_IT_Pisa,T1_US_FNAL_Disk,T2_PT_NCG_Lisbon,T2_IN_TIFR,T2_US_Nebraska,T2_US_Wisconsin",True
/BulkGravToZZToZhadZhad_narrow_M-6000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,67.01347724,"T2_US_UCSD,T1_US_FNAL_Tape,T2_IT_Pisa,T1_US_FNAL_Disk",True
/BulkGravToZZToZhadZhad_narrow_M-800_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1/MINIAODSIM,36.336557842,"T0_CH_CERN_Tape,T2_US_Florida,T2_US_MIT,T1_US_FNAL_Disk",True
/BulkGraviton_ggF_ZZ_ZlepZhad_narrow_M1200_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1/MINIAODSIM,6.373927762,"T0_CH_CERN_Tape,T1_US_FNAL_Disk",True
