,campaign,campaign_size,sum_dataset_sizes,dataset_on_tape_size,dataset_not_on_tape_size,total_dataset_count,datasets_on_tape,datasets_not_on_tape,datasets_fully_replicated_at_other_disks
0,RunIISummer20UL18MiniAODv2,1937379375612216,1937560891983515,1912611004439451,24949887544064,17892,17427,465,8900
1,RunIIAutumn18MiniAOD,1765960684436765,1765960684436765,1700713367632361,65247316804404,15043,14836,207,551
2,RunIIFall17MiniAODv2,1755538551483870,1755538551483870,1736675543185649,18863008298221,17171,17021,150,465
3,RunIISummer20UL17MiniAODv2,1542735044166950,1542735044166950,1510446869781863,32288174385087,16635,16191,444,8362
4,RunIISummer20UL18MiniAOD,1101781194019679,1101781194019679,1097421874214595,4359319805084,3367,3345,22,13
5,RunIISummer16MiniAODv3,1011546570832613,1011546570832613,1009711519315023,1835051517590,25314,25185,129,526
6,RunIISummer20UL17MiniAOD,883905093052120,883905093052120,880306505603625,3598587448495,3315,3294,21,10
7,RunIISummer20UL16MiniAODv2,808245740111161,808245740111161,789070467751277,19175272359884,16603,16281,322,8298
8,RunIISummer20UL16MiniAODAPVv2,735768168076954,735768168076954,712835060564296,22933107512658,15174,14989,185,7917
9,RunIISummer16MiniAODv2,662852568331200,662852568331200,662536330750577,316237580623,18255,18115,140,724
10,Run2018D-05May2019promptD-v1,642458545376894,642458545376894,642458545376894,0,5,5,0,0
11,Run2018D-UL2018_MiniAODv2-v1,597111130349395,597111130349395,587840936279755,9270194069640,19,17,2,1
12,RunIISummer20UL16MiniAOD,509919334113197,509919334113197,508758899751258,1160434361939,3298,3272,26,19
13,RunIISummer20UL16MiniAODAPV,444805461807943,444805461807943,444245149367421,560312440522,3041,2994,47,5
14,Run2022F-PromptReco-v1,330138059157485,330138059157485,330138059157485,0,68,68,0,68
15,HIRun2018A-PbPb18_MiniAODv1-v1,223296483229525,223296483229525,223296483229525,0,28,28,0,0
16,Run3Summer21MiniAOD,209381472128320,209381472128320,206650772690049,2730699438271,225,218,7,8
17,Run3Winter22MiniAOD,146957265374897,146957265374897,138222700584553,8734564790344,231,220,11,18
18,Run2022C-PromptReco-v1,141415079691940,141415079691940,110686339486307,30728740205633,72,37,35,5
19,Run2018D-PromptReco-v2,133736254090284,133736254090284,133733606044635,2648045649,62,60,2,4
20,Run2018A-UL2018_MiniAODv2-v1,127149466336034,127149466336034,127149466336034,0,20,20,0,1
21,Run2022E-PromptReco-v1,117031566283437,117031566283437,117031566283437,0,98,98,0,98
22,Run2018B-05May2019-v2,109478139836015,109478139836015,109478139836015,0,6,6,0,0
23,Run2018B-UL2018_MiniAODv2-v1,107025240597159,107025240597159,107009210714592,16029882567,20,19,1,1
24,Run2018D-15Feb2022_UL2018-v1,103219436930491,103219436930491,59444997732964,43774439197527,12,10,2,0
25,Run2018C-UL2018_MiniAODv2-v1,100140324701733,100140324701733,100140324701733,0,18,18,0,1
26,Run2018C-05May2019-v1,100096342797526,100096342797526,100096342797526,0,5,5,0,0
27,Run2018A-05May2019-v1,99627999921488,99627999921488,99627999921488,0,6,6,0,0
28,Run3Winter21DRMiniAOD,73145663824010,73145663824010,64448763354242,8696900469768,298,272,26,2
29,HINPbPbSpring21MiniAOD,71576492737382,71576492737382,71576492737382,0,158,158,0,2
