,campaign,campaign_size_Bytes,dataset_on_tape_size_Bytes,dataset_not_on_tape_size_Bytes,campaign_size_TB,dataset_on_tape_size_TB,dataset_not_on_tape_size_TB,sum_dataset_sizes,total_dataset_count,datasets_on_tape,datasets_not_on_tape,datasets_fully_replicated_at_other_disks
0,RunIISummer20UL18MiniAODv2,1954119513869094,1916410682254401,37537552701809,1954.119513869094,1916.4106822544009,37.537552701809,1953948234956210,18701,17558,1143,9262
1,RunIIAutumn18MiniAOD,1766654174610250,1700713367632361,65940806977889,1766.65417461025,1700.713367632361,65.940806977889,1766654174610250,15045,14836,209,551
2,RunIIFall17MiniAODv2,1758117138095643,1737120998717588,20996139378055,1758.117138095643,1737.120998717588,20.996139378055,1758117138095643,17172,17024,148,462
3,RunIISummer20UL17MiniAODv2,1561831082104760,1515474155423630,46356926681130,1561.83108210476,1515.47415542363,46.35692668113,1561831082104760,17431,16357,1074,8736
4,RunIISummer20UL18MiniAOD,1101781194019679,1097421874214595,4359319805084,1101.7811940196789,1097.421874214595,4.359319805084,1101781194019679,3367,3345,22,13
5,RunIISummer16MiniAODv3,1011625673193469,1009771998166465,1853675027004,1011.625673193469,1009.771998166465,1.8536750270039999,1011625673193469,25317,25188,129,529
6,RunIISummer20UL17MiniAOD,883905093052120,880306505603625,3598587448495,883.90509305212,880.3065056036249,3.598587448495,883905093052120,3315,3294,21,10
7,RunIISummer20UL16MiniAODv2,816628258275401,793125376593036,23502881682365,816.628258275401,793.125376593036,23.502881682365,816628258275401,17388,16481,907,8629
8,RunIISummer20UL16MiniAODAPVv2,739149507315326,714179482125856,24970025189470,739.149507315326,714.179482125856,24.97002518947,739149507315326,15413,15056,357,8052
9,RunIISummer16MiniAODv2,662852568331200,662536330750577,316237580623,662.8525683312,662.536330750577,0.316237580623,662852568331200,18255,18115,140,724
10,Run2018D-05May2019promptD-v1,642458545376894,642458545376894,0,642.458545376894,642.458545376894,0.0,642458545376894,5,5,0,0
11,Run2018D-UL2018_MiniAODv2-v1,597111130349395,587840936279755,9270194069640,597.111130349395,587.8409362797549,9.27019406964,597111130349395,19,17,2,1
12,RunIISummer20UL16MiniAOD,509919334113197,508758899751258,1160434361939,509.919334113197,508.758899751258,1.160434361939,509919334113197,3298,3272,26,19
13,RunIISummer20UL16MiniAODAPV,444805461807943,444245149367421,560312440522,444.805461807943,444.245149367421,0.560312440522,444805461807943,3041,2994,47,5
14,Run2022F-PromptReco-v1,330138059157485,330138059157485,0,330.138059157485,330.138059157485,0.0,330138059157485,68,68,0,68
15,HIRun2018A-PbPb18_MiniAODv1-v1,223296483229525,223296483229525,0,223.296483229525,223.296483229525,0.0,223296483229525,28,28,0,0
16,Run3Summer21MiniAOD,209381472128320,206650772690049,2730699438271,209.38147212831998,206.650772690049,2.730699438271,209381472128320,225,218,7,8
17,Run3Winter22MiniAOD,146957265374897,138222700584553,8734564790344,146.957265374897,138.222700584553,8.734564790344,146957265374897,231,220,11,18
18,Run2022C-PromptReco-v1,141415079691940,110686339486307,30728740205633,141.41507969194,110.68633948630699,30.728740205633,141415079691940,72,37,35,5
19,Run2018D-PromptReco-v2,133736254090284,133733606044635,2648045649,133.736254090284,133.733606044635,0.002648045649,133736254090284,62,60,2,4
20,Run2018A-UL2018_MiniAODv2-v1,127149466336034,127149466336034,0,127.149466336034,127.149466336034,0.0,127149466336034,20,20,0,1
21,Run2022E-PromptReco-v1,117031566283437,117031566283437,0,117.031566283437,117.031566283437,0.0,117031566283437,98,98,0,98
22,Run2018B-05May2019-v2,109478139836015,109478139836015,0,109.478139836015,109.478139836015,0.0,109478139836015,6,6,0,0
23,Run2018B-UL2018_MiniAODv2-v1,107025240597159,107009210714592,16029882567,107.025240597159,107.009210714592,0.016029882567,107025240597159,20,19,1,1
24,Run2018D-15Feb2022_UL2018-v1,103219436930491,74890141492001,28329295438490,103.219436930491,74.89014149200099,28.32929543849,103219436930491,12,11,1,0
25,Run2018C-UL2018_MiniAODv2-v1,100140324701733,100140324701733,0,100.140324701733,100.140324701733,0.0,100140324701733,18,18,0,1
26,Run2018C-05May2019-v1,100096342797526,100096342797526,0,100.09634279752599,100.09634279752599,0.0,100096342797526,5,5,0,0
27,Run2018A-05May2019-v1,99627999921488,99627999921488,0,99.627999921488,99.627999921488,0.0,99627999921488,6,6,0,0
28,Run3Winter21DRMiniAOD,73145663824010,64448763354242,8696900469768,73.14566382401,64.448763354242,8.696900469768,73145663824010,298,272,26,2
29,HINPbPbSpring21MiniAOD,71576492737382,71576492737382,0,71.576492737382,71.576492737382,0.0,71576492737382,158,158,0,2
